# Hp07_10cm_shield_Otto2016
#     unit:            uSv/h/GBq
#A    isotope    Hp07_10cm_shield
205   Po                 10500.0
206   Po                 15700.0
207   Po                  9600.0
208   Po                     0.0
209   Po                   100.0
210   Po                     0.0
211   Po                     0.0
212   Po                     0.0
212   Po_isomer            100.0
213   Po                     0.0
214   Po                     0.0
215   Po                     0.0
216   Po                     0.0
218   Po                     0.0
204   At                 16200.0
205   At                  9700.0
206   At                 16100.0
207   At                 12600.0
208   At                 18100.0
209   At                 18000.0
210   At                 14900.0
211   At                  3100.0
215   At                     0.0
216   At                   100.0
217   At                     0.0
218   At                     0.0
219   At                     0.0
220   At                  5700.0
207   Rn                  9100.0
209   Rn                  9500.0
210   Rn                   800.0
211   Rn                 10700.0
212   Rn                     0.0
215   Rn                     0.0
216   Rn                     0.0
217   Rn                     0.0
218   Rn                     0.0
219   Rn                   800.0
220   Rn                     0.0
222   Rn                     0.0
223   Rn                  5600.0
212   Fr                 10400.0
219   Fr                     0.0
220   Fr                  1300.0
221   Fr                   700.0
222   Fr                  5400.0
223   Fr                  4200.0
224   Fr                  4500.0
227   Fr                  6700.0
219   Ra                  2900.0
220   Ra                     0.0
221   Ra                  3300.0
222   Ra                   100.0
223   Ra                  4900.0
224   Ra                   200.0
225   Ra                  2000.0
226   Ra                   200.0
227   Ra                  6300.0
228   Ra                  1300.0
230   Ra                  2300.0
223   Ac                  1300.0
224   Ac                  9200.0
225   Ac                  2400.0
226   Ac                  4200.0
227   Ac                   400.0
228   Ac                  6200.0
230   Ac                  2800.0
231   Ac                  8000.0
232   Ac                  4000.0
233   Ac                  2900.0
223   Th                  5000.0
224   Th                   700.0
226   Th                   900.0
227   Th                  7500.0
228   Th                  1000.0
